key,Nederlands,English,العربية,Français,Español,Deutsch,Português (Brasil),Русский,中文,日本語,한국어,हिंदी,বাংলা,Bahasa Indonesia
ex mvc ch1,Cholesterol 1,Cholesterol 1,الكوليسترول 1,Cholestérol 1,Colesterol 1,Cholesterin 1,Colesterol 1,Холестерин 1,胆固醇1,コレステロール1,콜레스테롤 1,कोलेस्ट्रॉल 1,কোলেস্টেরল 1,Kolesterol 1
ex mvc ch2,Cholesterol 2,Cholesterol 2,الكوليسترول 2,Cholestérol 2,Colesterol 2,Cholesterin 2,Colesterol 2,Холестерин 2,胆固醇2,コレステロール2,콜레스테롤 2,कोलेस्ट्रॉल 2,কোলেস্টেরল 2,Kolesterol 2
ex mvc non1,Non-HDL-cholesterol 1,Non-HDL 1,الكوليسترول غير HDL 1,Cholestérol non-HDL 1,Colesterol no HDL 1,Non-HDL-Cholesterin 1,Colesterol não-HDL 1,не-HDL холестерин 1,非HDL胆固醇1,非HDLコレステロール1,비HDL 콜레스테롤 1,नॉन-एचडीएल कोलेस्ट्रॉल 1,নন-এইচডিএল কোলেস্টেরল 1,Kolesterol Non-HDL 1
ex mvc non2,Non-HDL-cholesterol 2,Non-HDL 2,الكوليسترول غير HDL 2,Cholestérol non-HDL 2,Colesterol no HDL 2,Non-HDL-Cholesterin 2,Colesterol não-HDL 2,не-HDL холестерин 2,非HDL胆固醇2,非HDLコレステロール2,비HDL 콜레스테롤 2,नॉन-एचडीएल कोलेस्ट्रॉल 2,নন-এইচডিএল কোলেস্টেরল 2,Kolesterol Non-HDL 2
ex mvc bs1,Bloedsuiker 1,Bloodsugar 1,سكر الدم 1,Glycémie 1,Glucemia 1,Blutzucker 1,Glicemia 1,Уровень глюкозы в крови 1,血糖1,血糖値1,혈당 1,रक्त शर्करा 1,রক্তে শর্করা 1,Gula Darah 1
ex mvc bs2,Bloedsuiker 2,Bloodsugar 2,سكر الدم 2,Glycémie 2,Glucemia 2,Blutzucker 2,Glicemia 2,Уровень глюкозы в крови 2,血糖2,血糖値2,혈당 2,रक्त शर्करा 2,রক্তে শর্করা 2,Gula Darah 2
ex mvc bmi1,BMI 1,BMI 1,مؤشر كتلة الجسم 1,IMC 1,IMC 1,BMI 1,IMC 1,ИМТ 1,体质指数1,BMI1,BMI 1,बीएमआई 1,বিএমআই 1,BMI 1
ex mvc bmi2,BMI 2,BMI 2,مؤشر كتلة الجسم 2,IMC 2,IMC 2,BMI 2,IMC 2,ИМТ 2,体质指数2,BMI2,BMI 2,बीएमआई 2,বিএমআই 2,BMI 2
ex bd gem 1,Gemiddelde bloeddruk 1,Average bloodpressure 1,متوسط ضغط الدم 1,Tension artérielle moyenne 1,Presión arterial media 1,Durchschnittlicher Blutdruck 1,Pressão arterial média 1,Среднее артериальное давление 1,平均血压1,平均血圧1,평균 혈압 1,औसत रक्तचाप 1,গড় রক্তচাপ 1,Rata-rata Tekanan Darah 1
ex bd gem 2,Gemiddelde bloeddruk 2,Average bloodpressure 2,متوسط ضغط الدم 2,Tension artérielle moyenne 2,Presión arterial media 2,Durchschnittlicher Blutdruck 2,Pressão arterial média 2,Среднее артериальное давление 2,平均血压2,平均血圧2,평균 혈압 2,औसत रक्तचाप 2,গড় রক্তচাপ 2,Rata-rata Tekanan Darah 2
ex ch gem 1,Gemiddeld cholesterol 1,Average cholesterol 1,متوسط الكوليسترول 1,Cholestérol moyen 1,Colesterol medio 1,Durchschnittliches Cholesterin 1,Colesterol médio 1,Средний холестерин 1,平均胆固醇1,平均コレステロール1,평균 콜레스테롤 1,औसत कोलेस्ट्रॉल 1,গড় কোলেস্টেরল 1,Rata-rata Kolesterol 1
ex ch gem 2,Gemiddeld cholesterol 2,Average cholesterol 2,متوسط الكوليسترول 2,Cholestérol moyen 2,Colesterol medio 2,Durchschnittliches Cholesterin 2,Colesterol médio 2,Средний холестерин 2,平均胆固醇2,平均コレステロール2,평균 콜레스테롤 2,औसत कोलेस्ट्रॉल 2,গড় কোলেস্টেরল 2,Rata-rata Kolesterol 2
ex bs gem 1,Gemiddelde bloedsuiker 1,Average bloodsugar 1,متوسط سكر الدم 1,Glycémie moyenne 1,Glucemia media 1,Durchschnittlicher Blutzucker 1,Glicemia média 1,Средний уровень глюкозы в крови 1,平均血糖1,平均血糖値1,평균 혈당 1,औसत रक्त शर्करा 1,গড় রক্তে শর্করা 1,Rata-rata Gula Darah 1
ex bs gem 2,Gemiddelde bloedsuiker 2,Average bloodsugar 2,متوسط سكر الدم 2,Glycémie moyenne 2,Glucemia media 2,Durchschnittlicher Blutzucker 2,Glicemia média 2,Средний уровень глюкозы в крови 2,平均血糖2,平均血糖値2,평균 혈당 2,औसत रक्त शर्करा 2,গড় রক্তে শর্করা 2,Rata-rata Gula Darah 2
ex bmi gem 1,Gemiddelde BMI 1,Average BMI 1,متوسط مؤشر كتلة الجسم 1,IMC moyen 1,IMC medio 1,Durchschnittlicher BMI 1,IMC médio 1,Средний ИМТ 1,平均体质指数1,平均BMI1,평균 BMI 1,औसत बीएमआई 1,গড় বিএমআই 1,Rata-rata BMI 1
ex bmi gem 2,Gemiddelde BMI 2,Average BMI 2,متوسط مؤشر كتلة الجسم 2,IMC moyen 2,IMC medio 2,Durchschnittlicher BMI 2,IMC médio 2,Средний ИМТ 2,平均体质指数2,平均BMI2,평균 BMI 2,औसत बीएमआई 2,গড় বিএমআই 2,Rata-rata BMI 2
li inloggen,Inloggen,Login,تسجيل الدخول,Connexion,Iniciar sesión,Anmelden,Iniciar sessão,Войти,登录,ログイン,로그인,लॉगिन,লগইন,Masuk
li mail,E-mail,E-mail,البريد الإلكتروني,E-mail,Correo electrónico,E-Mail,E-mail,Электронная почта,电子邮件,メールアドレス,이메일,ई-मेल,ই-মেইল,Email
li ww,Wachtwoord,Password,كلمة المرور,Mot de passe,Contraseña,Passwort,Senha,Пароль,密码,パスワード,비밀번호,पासवर्ड,পাসওয়ার্ড,Kata Sandi
li suc,Succesvol ingelogd!,You've succesfully logged in!,لقد تم تسجيل دخولك بنجاح!,Vous vous êtes connecté avec succès !,¡Has iniciado sesión correctamente!,Sie haben sich erfolgreich angemeldet!,Você iniciou sessão com sucesso!,Вы успешно вошли в систему!,您已成功登录！,ログインに成功しました！,성공적으로 로그인되었습니다!,सफलतापूर्वक लॉगिन किया गया!,সফলভাবে লগইন করা হয়েছে!,Berhasil masuk!
li fout,Onjuiste e-mail of wachtwoord.,Incorrect e-mail or password,البريد الإلكتروني أو كلمة المرور غير صحيحة,E-mail incorrect,Correo electrónico o contraseña incorrectos,Falsche E-Mail oder falsches Passwort,E-mail ou senha incorretos,Неверный адрес электронной почты или пароль,电子邮件或密码错误,メールアドレスまたはパスワードが正しくありません,이메일 또는 비밀번호가 올바르지 않습니다,गलत ई-मेल या पासवर्ड।,ভুল ই-মেইল বা পাসওয়ার্ড।,Email atau kata sandi salah.
li dash,Dashboard HARTstikke Gezond Week,Dashboard HARTstikke Gezond Week,لوحة التحكم HARTstikkegezond,Tableau de bord,Panel de control HARTstikkegezond,Dashboard HARTstikkegezond,Painel de controle HARTstikkegezond,Панель управления HARTstikkegezond,HARTstikkegezond 仪表板,HARTstikkegezond ダッシュボード,HARTstikkegezond 대시보드,हार्टस्टिक्के गेज़ोंड सप्ताह डैशबोर्ड,HARTstikke Gezond সপ্তাহ ড্যাশবোর্ড,Dasbor Pekan HARTstikke Gezond
li welkom,Welkom! Je bent ingelogd.,Welcome! You're logged-in,مرحبًا! لقد قمت بتسجيل الدخول,Bienvenue !,¡Bienvenido! Has iniciado sesión,Willkommen! Sie sind eingeloggt,Bem-vindo! Você iniciou sessão,Добро пожаловать! Вы вошли в систему,欢迎！您已登录,ようこそ！ログインしています,환영합니다! 로그인되었습니다,स्वागत है! आप लॉगिन हैं।,স্বাগতম! আপনি লগইন করেছেন।,Selamat datang! Anda sudah masuk.
li lu,Uitloggen,Logout,تسجيل الخروج,Déconnexion,Cerrar sesión,Abmelden,Terminar sessão,Выйти,退出登录,ログアウト,로그아웃,लॉगआउट,লগআউট,Keluar
li dash,Dashboard HARTstikke Gezond Week,Dashboard HARTstikke Gezond Week,لوحة التحكم HARTstikkegezond,Tableau de bord,Panel de control HARTstikkegezond,Dashboard HARTstikkegezond,Painel de controle HARTstikkegezond,Панель управления HARTstikkegezond,HARTstikkegezond 仪表板,HARTstikkegezond ダッシュボード,HARTstikkegezond 대시보드,हार्टस्टिक्के गेज़ोंड सप्ताह डैशबोर्ड,HARTstikke Gezond সপ্তাহ ড্যাশবোর্ড,Dasbor Pekan HARTstikke Gezond
mp Opties,Opties,Options,الخيارات,Options,Opciones,Optionen,Opções,Настройки,选项,オプション,옵션,विकल्प,বিকল্পসমূহ,Opsi
mp lett,Letter grootte,Font size,حجم الخط,Taille de police,Tamaño de fuente,Schriftgröße,Tamanho da fonte,Размер шрифта,字体大小,フォントサイズ,글꼴 크기,फ़ॉन्ट आकार,ফন্টের আকার,Ukuran Huruf
mp taal,Taal,Language,اللغة,Langue,Idioma,Sprache,Idioma,Язык,语言,言語,언어,भाषा,ভাষা,Bahasa
mp filter,Filters,Filters,عوامل التصفية,Filtres,Filtros,Filter,Filtros,Фильтры,筛选条件,フィルター,필터,फ़िल्टर,ফিল্টার,Filter
mp wijk g,Kies wijken voor grafiek,Choose neighborhood(s) for graph,اختر الحي/الأحياء للرسم البياني,Choisissez des quartiers pour le graphique,Elija barrio(s) para el gráfico,Stadtteil(e) für das Diagramm auswählen,Escolha bairro(s) para o gráfico,Выберите район(ы) для графика,选择用于图表的社区,グラフ用の地区を選択,그래프에 사용할 지역 선택,ग्राफ़ के लिए पड़ोस चुनें,গ্রাফের জন্য এলাকা নির্বাচন করুন,Pilih Wilayah untuk Grafik
mp kies v,Kies variabelen,Choose variables,اختر المتغيرات,Choisissez des variables,Elegir variables,Variablen auswählen,Escolher variáveis,Выберите переменные,选择变量,変数を選択,변수 선택,चर चुनें,ভেরিয়েবল নির্বাচন করুন,Pilih Variabel
mp toon g,Toon grafiek(en),Show graph,عرض الرسم البياني,Afficher le graphique,Mostrar gráfico(s),Diagramm(e) anzeigen,Mostrar gráfico(s),Показать график(и),显示图表,グラフを表示,그래프 표시,ग्राफ़ दिखाएँ,গ্রাফ দেখান,Tampilkan Grafik
mp wijk t,Kies wijken voor tabel,Choose neighborhood(s) for table,اختر الحي/الأحياء للجدول,Choisissez un ou plusieurs quartiers pour le tableau,Elija barrio(s) para la tabla,Stadtteil(e) für die Tabelle auswählen,Escolha bairro(s) para a tabela,Выберите район(ы) для таблицы,选择用于表格的社区,表用の地区を選択,표에 사용할 지역 선택,तालिका के लिए पड़ोस चुनें,টেবিলের জন্য এলাকা নির্বাচন করুন,Pilih Wilayah untuk Tabel
mp mvc,Kies meest voorkomende categorie(ën),Choose most frequent categorie(s),اختر الفئات الأكثر تكرارًا,Choisissez la ou les catégories les plus fréquentes,Elegir las categorías más frecuentes,Häufigste Kategorien auswählen,Escolha as categorias mais frequentes,Выберите наиболее частые категории,选择最常见的类别,最も頻度の高いカテゴリを選択,가장 빈도가 높은 카테고리 선택,सबसे सामान्य श्रेणी(याँ) चुनें,সবচেয়ে সাধারণ বিভাগ নির্বাচন করুন,Pilih Kategori yang Paling Umum
mp toon t,Toon tabel,Show table,عرض الجدول,Afficher le tableau,Mostrar tabla,Tabelle anzeigen,Mostrar tabela,Показать таблицу,显示表格,表を表示,표 표시,तालिका दिखाएँ,টেবিল দেখান,Tampilkan Tabel
mp tit kaart,Kaart van Amsterdam,Map of Amsterdam,خريطة أمستردام,Carte d’Amsterdam,Mapa de Ámsterdam,Karte von Amsterdam,Mapa de Amesterdã,Карта Амстердама,阿姆斯特丹地图,アムステルダムの地図,암스테르담 지도,एम्स्टर्डम का मानचित्र,আমস্টারডামের মানচিত্র,Peta Amsterdam
mp leeftijd,Kies leeftijdscategorieën,Select age categories,اختر الفئات العمرية,Choisissez les catégories d’âge,Seleccione las categorías de edad,Alterskategorien auswählen,Selecione as faixas etárias,Выберите возрастные категории,选择年龄类别,年齢カテゴリを選択,연령대를 선택하세요,आयु श्रेणियाँ चुनें,বয়সের বিভাগ নির্বাচন করুন,Pilih kategori usia
mp geslacht,Kies geslacht,Select gender,اختر الجنس,Choisissez le sexe,Seleccione el género,Geschlecht auswählen,Selecione o gênero,Выберите пол,选择性别,性別を選択,성별을 선택하세요,लिंग चुनें,লিঙ্গ নির্বাচন করুন,Pilih jenis kelamin
gr tit g,Grafiek(en),Graph(s),الرسوم البيانية,Graphique(s),Gráfico(s),Diagramm(e),Gráfico(s),График(и),图表,グラフ,그래프,ग्राफ़,গ্রাফ,Grafik
gr but terug,← Terug naar kaart,← Back to map,→ العودة إلى الخريطة,← Retour à la carte,← Volver al mapa,← Zurück zur Karte,← Voltar ao mapa,← Назад к карте,← 返回地图,← 地図に戻る,← 지도로 돌아가기,← मानचित्र पर वापस जाएँ,← মানচিত্রে ফিরে যান,← Kembali ke Peta
gr war 1 v,Selecteer minimaal één variabele,Select at least one variable,اختر متغيرًا واحدًا على الأقل,Sélectionnez au moins une variable,Seleccione al menos una variable,Wählen Sie mindestens eine Variable aus,Selecione pelo menos uma variável,Выберите хотя бы одну переменную,至少选择一个变量,少なくとも1つの変数を選択してください,최소 한 개의 변수를 선택하세요,कम से कम एक चर चुनें,অন্তত একটি ভেরিয়েবল নির্বাচন করুন,Pilih setidaknya satu variabel
gr per wijk,per wijk,per district,لكل حي,par quartier,por barrio,pro Stadtteil,por bairro,по району,按街区,地区ごと,구역별,प्रति पड़ोस,প্রতি এলাকা,per Wilayah
ta tit tab,Tabel,Table,جدول,Tableau,Tabla,Tabelle,Tabela,Таблица,表格,表,표,तालिका,টেবিল,Tabel
ta but terug,← Terug naar kaart,← Back to map,→ العودة إلى الخريطة,← Retour à la carte,← Volver al mapa,← Zurück zur Karte,← Voltar ao mapa,← Назад к карте,← 返回地图,← 地図に戻る,← 지도로 돌아가기,← मानचित्र पर वापस जाएँ,← মানচিত্রে ফিরে যান,← Kembali ke Peta
ta war 1 v,Selecteer minimaal één variabele,Select at least one variable,اختر متغيرًا واحدًا على الأقل,Sélectionnez au moins une variable,Seleccione al menos una variable,Wählen Sie mindestens eine Variable aus,Selecione pelo menos uma variável,Выберите хотя бы одну переменную,至少选择一个变量,少なくとも1つの変数を選択してください,최소 한 개의 변수를 선택하세요,कम से कम एक चर चुनें,অন্তত একটি ভেরিয়েবল নির্বাচন করুন,Pilih setidaknya satu variabel
ta wijk,Wijk,Neighborhood,حي,Quartier,Barrio,Stadtteil,Bairro,Pайон,社区,地区,동네,पड़ोस,এলাকা,Wilayah
menu co,Opties kiezen,Choose options,اختر الخيارات,Choisissez des options,Elige opciones,Optionen auswählen,Escolha opções,Выберите параметры,选择选项,オプションを選択,옵션 선택,विकल्प चुनें,বিকল্প নির্বাচন করুন,Pilih Opsi
man,Man,Male,ذكر,Homme,Hombre,Mann,Homem,Мужчина,男性,男性,남성,पुरुष,পুরুষ,Laki-laki
vrouw,Vrouw,Female,أنثى,Femme,Mujer,Frau,Mulher,Женщина,女性,女性,여성,महिला,নারী,Perempuan
anders,Anders,Other,آخر,Autre,Otro,Andere,Outro,Другое,其他,その他,기타,अन्य,অন্যান্য,Lainnya
